Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total Local,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total Foreign,Total All,persentase_lokal,persentase_asing
2021-09-30,ASPI,EQUITY,681794025,71,0.0,154008100.0,0,0,331781725,0,0,0,0,485789825.0,0,100,0,0,4100,0,0,0,0,4200,485794025.0,99.99913543605234,0.0008645639476525056
2021-09-30,ASRI,EQUITY,19649411888,169,15942700.0,9021028260.0,25996000,20000,3526760242,125060679,2850408040,15013500,300000,15580529421.0,0,101439842,55235827,329618330,12773000,224912821,321995745,0,40456902,1086432467,16666961888.0,93.4815206616497,6.518479338350305
2021-09-30,ASRM,EQUITY,304283840,1835,15213.0,33360279.0,0,0,9522718,0,2649,135,0,42900994.0,0,214616,0,35228,1275,0,378463,0,2140298,2769880,45670874.0,93.93512810812423,6.064871891875772
2021-09-30,ASSA,EQUITY,3556614726,3430,21237888.0,1763242520.0,31906073,0,1277298519,204113656,5944994,3336617,239300,3307319567.0,0,3848923,329900,72942824,2569900,30462647,5102207,0,134038758,249295159,3556614726.0,92.99066167674637,7.009338323253628
2021-09-30,ATAP,EQUITY,1250000000,102,0.0,59500000.0,0,0,67500000,0,0,0,0,127000000.0,0,123000000,0,0,0,0,0,0,0,123000000,250000000.0,50.8,49.2
2021-09-30,ATIC,EQUITY,2315361355,670,0.0,798794018.0,0,0,494991216,0,0,0,0,1293785234.0,0,863645841,0,800,452500,0,25000,0,0,864124141,2157909375.0,59.95549437751527,40.04450562248473
2021-09-30,ATPK,EQUITY,5760245414,194,334100.0,3695100.0,18900,0,258050494,0,0,0,0,262098594.0,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436,1252640030.0,20.923696171517047,79.07630382848295
2021-09-30,AUTO,EQUITY,4819733000,1020,486600.0,56928287.0,724375,0,284857593,40874235,6956616,2500,75,390830281.0,0,376775649,4504900,57285220,1023625,111593474,7502774,1898100,11267920,571851662,962681943.0,40.598069158964165,59.401930841035835
2021-09-30,AYLS,EQUITY,853423236,238,0.0,594720000.0,0,0,256103236,0,0,0,200000,851023236.0,0,0,0,1000000,1200000,0,200000,0,0,2400000,853423236.0,99.71877962788442,0.28122037211557716
2021-09-30,BABP,EQUITY,26731013948,266,126046924.0,13428506705.0,8825000,0,4545602256,401024776,17913950,911400,200,18528831211.0,0,6728496206,0,209109600,11752800,13345600,1013083,0,966839822,7930557111,26459388322.0,70.0274359539671,29.9725640460329
2021-09-30,BACA,EQUITY,7078002382,324,915409600.0,3078715256.0,105500,12686999,2242337530,407608713,65103034,695000,147500,6722809132.0,0,0,766600,8237500,17125300,3385200,16389990,0,309288660,355193250,7078002382.0,94.98173028447562,5.018269715524377
2021-09-30,BAJA,EQUITY,1800000000,380,0.0,88000000.0,0,0,305648100,0,0,0,0,393648100.0,0,525500,0,2321100,59600,315200,0,775700,2354800,6351900,400000000.0,98.412025,1.587975
2021-09-30,BALI,EQUITY,3934592500,770,68436102.0,2593658202.0,0,0,496000300,1100000,159363396,0,0,3318558000.0,0,0,0,173872200,92300,0,0,0,0,173964500,3492522500.0,95.01894404402549,4.981055955974514
2021-09-30,BANK,EQUITY,13241107234,2950,72313500.0,2574826600.0,3267700,0,708331474,80906100,312000,700000,3350000,3444007374.0,0,11002000,0,4514100,5654400,1804359,200500,0,840851941,864027300,4308034674.0,79.94381741598768,20.056182584012323
2021-09-30,BAPA,EQUITY,661784520,59,0.0,488725600.0,0,0,137694703,0,30904217,0,0,657324520.0,0,1032500,0,575000,1119400,0,1728100,0,0,4455000,661779520.0,99.32681506976826,0.6731849302317485
2021-09-30,BAPI,EQUITY,5591740386,50,38067999.0,2807664.0,1043540,0,1383547820,207736802,11859745,1054279,2102500,1648220349.0,0,6939300,0,0,22362737,0,0,0,0,29302037,1677522386.0,98.25325508353603,1.7467449164639643
2021-09-30,BATA,EQUITY,1300000000,700,0.0,0.0,0,50000,36657170,0,0,5800,0,36712970.0,0,0,0,72571600,3254600,38073500,3161100,0,65646200,182707000,219419970.0,16.731827098508855,83.26817290149114
2021-09-30,BAYU,EQUITY,353220780,1010,41503483.0,113991868.0,0,27384,13125309,19013100,10912,0,0,187672056.0,0,9000,0,157687814,844,0,0,0,430,157698088,345370144.0,54.33939767532424,45.66060232467576
2021-09-30,BBCA,EQUITY,24655010000,35000,506194639.0,107396746.0,81336050,4000,862922316,364679724,8469710,12065700,327925,1943396810.0,111139723,463530890,1292383672,812342976,11048406,3675795781,267108149,140458426,1863534391,8637342414,10580739224.0,18.367306563910454,81.63269343608954
2021-09-30,BBHI,EQUITY,11682933571,3750,0.0,11155967900.0,0,0,271905914,3040900,3972790,0,162200,11435049704.0,0,70527,0,2868635,127853759,181900,74710,0,5000,131054531,11566104235.0,98.86690861212007,1.1330913878799225
2021-09-30,BBKP,EQUITY,32673251194,418,95663099.0,2903335478.0,8181716,23405553,5244997019,58035266,82250896,352500,686852845,9103074372.0,0,55515300,91992726,59959606,18952300,186364973,229445653,0,991545285,1633775843,10736850215.0,84.78347177911152,15.216528220888476
2021-09-30,BBLD,EQUITY,1645796054,410,63281585.0,1190462465.0,0,1283,80372024,1125300,33453,0,0,1335276110.0,0,4996895,0,303380057,812914,0,3744,0,0,309193610,1644469720.0,81.19797487058625,18.802025129413753
2021-09-30,BBMD,EQUITY,4090090000,1945,0.0,63021300.0,0,0,192272500,0,0,0,0,255293800.0,0,0,0,100,174629500,0,76600,0,0,174706200,430000000.0,59.3706511627907,40.6293488372093
2021-09-30,BBNI,EQUITY,18648656458,5375,1436422807.0,88610125.0,165982327,47906943,1231839279,798889483,15988109,84108987,934965,3870683025.0,52599363,130740881,712118309,521630794,3939746,922899293,155562935,30057740,1059230497,3588779558,7459462583.0,51.889569549168684,48.110430450831316
2021-09-30,BBRI,EQUITY,151559001604,3850,4880459786.0,259036277.0,775683260,875436637,3665756352,3267571792,88263756,361734579,3888124,14177830563.0,1208502771,2906318444,6690481096,5074730200,89558772,20728082662,1434287190,285830681,12819435471,51237227287,65415057850.0,21.67364981241853,78.32635018758147
2021-09-30,BBRM,EQUITY,5367076248,50,0.0,2853148939.0,0,0,364601470,0,398100,0,1900,3218150409.0,0,1671252452,0,245523930,28455100,0,199294357,0,4400000,2148925839,5367076248.0,59.9609593808029,40.0390406191971
2021-09-30,BBSI,EQUITY,3026529405,5925,0.0,1875564070.0,0,0,820886297,41800,0,0,0,2696492167.0,0,0,0,21800,10416800,162600,251408827,0,0,262010027,2958502194.0,91.14382853825931,8.856171461740685
2021-09-30,BBSS,EQUITY,4800016020,71,0.0,61247300.0,0,0,1238763720,0,0,0,0,1300011020.0,0,0,0,0,0,0,5000,0,0,5000,1300016020.0,99.99961538935497,0.00038461064502882047
2021-09-30,BBTN,EQUITY,10590000000,1420,1101546340.0,72639184.0,91048907,8021600,1266708644,501638935,12610504,31722647,2006500,3087943261.0,6373837,97528314,120031488,48388169,5436440,419316764,83892452,39861800,327127975,1147957239,4235900500.0,72.89933417935572,27.100665820644277
2021-09-30,BBYB,EQUITY,7494519643,1380,87551600.0,3140657072.0,54741200,0,922215628,845418040,7851624,21950300,179162153,5259547617.0,0,1655986705,90819500,54350861,22697549,10436000,2864700,0,172817000,2009972315,7269519932.0,72.3506870632238,27.649312936776195
